WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
C1QL2,STEAP3,STEAP3-AS1,C2orf76,DBI,TMEM37,SCTR,AC013275.1,CFAP221,TMEM177,AC069154.1,PTPN4,EPB41L5,MTATP6P26,MTCO3P43,MTND4P26,MTND5P28,TMEM185B,RALB,INHBB
AC073257.2,AC073257.1,GLI2,AC017033.1,TFCP2L1,CLASP1,AC012447.1,RNU4ATAC,NIFK-AS1,RPL12P15,AC018737.2,NPM1P32,NIFK,TSN,LINC01823,CNTNAP5,YWHAZP2,GYPC,AC013474.1,BIN1
CYP27C1,AC110926.1,ERCC3,MAP3K2,AC068282.1,PROC,IWS1,AC010976.1,MYO7B,AC010976.2,LIMS2,GPR17,WDR33,AC006011.2,POLR2D,Metazoa_SRP,AMMECR1L,AC012306.2,SAP130,UGGT1
DYNLT3P2,AC017079.2,HS6ST1,AC019050.1,AC079776.2,PLAC9P1,RAB6C-AS1,RAB6C,FAR2P1,AC079776.1,KLF2P1,POTEF,CCDC74B,SMPD4,MZT2B,TUBA3E,AC018804.1,RHOQP3,NOC2LP1,AC068137.1
CCDC115,IMP4,PTPN18,FAR2P2,KLF2P2,POTEI,POTEJ,FAR2P3,AMER3,AC133785.1,ARHGEF4,FAM168B,PLEKHB2,POTEE,WTH3DI,GNAQP1,NOC2LP2,RHOQP2,AC073869.3,MZT2A
TUBA3D,AC073869.1,CCDC74A,POTEKP,C2orf27A,AC093724.1,ZNF806,AC097532.2,FAM201B,GPR39,LYPD1,NCKAP5,AC010890.1,MGAT5,TMEM163,CCNT2-AS1,ACMSD,CCNT2,MAP3K19,RAB3GAP1
ZRANB3,AC064850.1,R3HDM1,UBXN4,LCT,AC011893.1,MCM6,DARS,DARS-AS1,CXCR4,HNRNPKP2,AC112255.1,UBBP1,THSD7B,HNMT,AC097523.1,YWHAEP5,AC114763.1,SPOPL,AC092620.1
NXPH2,LRP1B,KYNU,ARHGAP15,AC096558.1,AC092652.3,AC092652.2,AC079584.2,GTDC1,ZEB2,AC009951.1,ZEB2-AS1,LINC01412,TEX41,ACVR2A,ORC4,MBD5,AC019226.1,AC019226.2,EPC2
AC105402.3,KIF5C,LYPD6B,TXNP5,LYPD6,MMADHC,AC007364.1,RND3,RBM43,NMI,TNFAIP6,RIF1,NEB,ARL5A,CACNB4,STAM2,RPL30P2,FMNL2,AC012066.1,PRPF40A
ARL6IP6,RPRM,GALNT13,AC009227.1,KCNJ3,ATP5A1P2,LINC01876,NR4A2,GPD2,CDK7P1,GALNT5,ERMN,FAM133DP,CYTIP,ACVR1C,AC019186.1,ACVR1,UPP2,AC013731.1,AC091488.1
CCDC148,PKP4,AC005042.1,PKP4-AS1,DAPL1,TANC1,BTF3L4P2,WDSUB1,BAZ2B,AC008277.1,AC009506.1,AC009961.1,AC009961.3,MARCH7,CD302,LY75,PLA2R1,ITGB6,RBMS1,TANK
AC009299.3,LINC01806,PSMD14,AC009299.2,RNA5SP108,TBR1,SLC4A10,AC009487.2,DPP4,AC008063.1,AC007750.1,FAP,IFIH1,GCA,KCNH7,FIGN,GRB14,AC107075.1,COBLL1,AC019181.1
SNORA70F,AC019197.1,RNA5SP111,SLC38A11,SCN3A,SCN2A,CSRNP3,GALNT3,AC009495.3,AC009495.1,AC009495.2,TTC21B,TTC21B-AS1,AC010127.1,SCN1A,SCN9A,SCN7A,XIRP2,AC016723.1,B3GALT1
STK39,CERS6,CERS6-AS1,NOSTRIN,SPC25,ABCB11,DHRS9,LRP2,BBS5,KLHL41,FASTKD1,PPIG,CCDC173,PHOSPHO2,KLHL23,PTCHD3P2,AC009967.1,SSB,METTL5,UBR3
AC092641.1,MYO3B,HMGB1P4,AC007277.1,LINC01124,SP5,AC007405.1,EIF2S2P4,AC007405.3,ERICH2,GAD1,AC007405.2,GORASP2,TLK1,METTL8,AC008065.1,DCAF17,DAP3P2,AC007969.2,AC007969.1
CYBRD1,DYNC1I2,SLC25A12,HAT1,METAP1D,DLX1,DLX2,AC104088.1,AC078883.4,ITGA6,AC078883.3,AC078883.1,PDK1,RAPGEF4-AS1,RAPGEF4,MAP3K20,MAP3K20-AS1,CDCA7,AC073465.2,AC106900.2
SP3,AC016737.1,AC016737.2,LINC01960,OLA1,HNRNPA1P39,LINC01305,CIR1,SCRN3,GPR155,AC010894.2,AC010894.5,AC010894.3,RNU6-5P,WIPF1,H3F3AP4,CHRNA1,CHN1,ATF2,uc_338
ATP5G3,AC096649.2,LNPK,HOXD13,HOXD12,HOXD11,HOXD10,HOXD-AS2,HOXD9,HOXD8,HOXD3,MIR10B,HOXD4,AC009336.1,HAGLR,HAGLROS,HOXD1,AC016739.1,MTX2,AC073069.1
AC017048.3,LINC01116,LINC01117,AC092162.2,AC092162.3,AC073636.1,AC074286.1,AC079305.3,HNRNPA3,NFE2L2,DNAJC19P5,AC079305.1,AC019080.1,AC019080.3,AC019080.4,AC019080.5,AGPS,TTC30B,TTC30A,PDE11A
RBM45,OSBPL6,AC009948.1,PRKRA,DFNB59,AC009948.2,FKBP7,PLEKHA3,TTN-AS1,TTN,AC009948.4,AC009948.3,AC010680.2,AC010680.5,CCDC141,SESTD1,ZNF385B,CWC22,FTH1P20,UBE2E3
AC104076.1,LINC01934,ITGA4,CERKL,AC009962.1,SSFA2,PPP1R1C,KRT18P29,PDE1A,DNAJC10,FRZB,NCKAP1,KRT8P10,DUSP19,NUP35,AC021851.1,CACYBPP2,AC096667.1,ZNF804A,AC007966.1
FSIP2,FSIP2-AS1,RPL21P32,LINC01473,AC017071.1,MED28P3,ZC3H15,ITGAV,FAM171B,AC007319.1,CALCRL,GAPDHP59,TFPI,LINC01090,GULP1,COL3A1,COL5A2,KRT18P19,WDR75,AC013439.1
SLC40A1,ASNSD1,ANKAR,OSGEPL1,OSGEPL1-AS1,AC013468.1,ORMDL1,PMS1,C2orf88,HNRNPCP2,MSTN,HIBCH,INPP1,MFSD6,AC093388.1,NEMP2,AC108047.1,AC006460.2,NAB1,AC006460.1
AC005540.1,GLS,STAT1,AC067945.1,AC067945.3,STAT4,AC079777.1,AC092614.1,MYO1B,NABP1,CAVIN2,AC098617.1,TMEFF2,HNRNPA1P47,LINC01825,LINC01827,SLC39A10,DNAH7,E2F3P2,STK17B
AC114760.2,HECW2,AC020571.1,CCDC150,GTF3C3,C2orf66,AC012486.1,PGAP1,ANKRD44,AC013264.1,ANKRD44-IT1,NPM1P46,SF3B1,COQ10B,HSPD1,HSPE1,MOB4,RFTN2,AC011997.1,MARS2
BOLL,PLCL1,SATB2,SATB2-AS1,LINC01877,SEPHS1P6,FTCDNL1,AC097717.1,C2orf69,TYW5,MAIP1,SPATS2L,KCTD18,SGO2,AOX1,LINC01792,BZW1,CLK1,Y_RNA,PPIL3
RNU6-312P,NIF3L1,RNU6-762P,ORC2,FAM126B,HNRNPA1P35,NDUFB3,Metazoa_SRP,AC007272.1,CFLAR,IMPDH1P10,CFLAR-AS1,RNU7-45P,AC007283.2,CASP10,MTND4P23,CASP8,ALS2CR12,TRAK2,STRADB
AC007256.1,C2CD6,MTCO2P16,TMEM237,MPP4,ALS2,AC007279.1,CDK15,AC069148.1,FZD7,KIAA2012,AC079354.1,DAZAP2P1,SUMO1,NOP58,SNORD11,AC064836.1,AC064836.2,RN7SL40P,AC064836.3
BMPR2,AC073410.1,FAM117B,ICA1L,KRT8P15,WDR12,CARF,AC010900.1,NBEAL1,AC023271.1,CYP20A1,ABI2,RAPH1,CD28,KRT18P39,NPM1P33,CTLA4,ICOS,PARD3B,NRP2
AC007362.1,INO80D,AC007383.2,NDUFS1,EEF1B2,snoZ196,GPR1,ZDBF2,HNRNPA1P51,ADAM23,MDH1B,FASTKD2,AC008269.1,CPO,KLF7,KLF7-IT1,AC007879.3,AC007879.2,MYOSLID,AC009226.1
CREB1,METTL21A,LINC01857,PPP1R14BP2,CCNYL1,FZD5,PLEKHM3,AC083900.1,AC093698.1,RPL12P17,IDH1,IDH1-AS1,PIKFYVE,PTH2R,MAP2,UNC80,RPE,KANSL1L,AC007038.2,AC007038.1
AC006994.1,AC006994.2,ACADL,LANCL1-AS1,LANCL1,CPS1,ERBB4,IKZF2,AC079610.2,AC079610.1,SPAG16,AC068051.1,RPL5P8,VWC2L,BARD1,AC016708.1,RPL10P6,ABCA12,AC072062.1,ATIC
FN1,AC012668.3,LINC00607,LINC01614,AC093382.1,MREG,PECR,TMEM169,XRCC5,AC012513.2,AC012513.3,LINC01963,MARCH4,SMARCAL1,AC098820.1,AC098820.3,RPL37A,IGFBP2,IGFBP5,DIRC3-AS1
DIRC3,TNS1,AC010136.1,RUFY4,CXCR2P1,CXCR2,CXCR1,ARPC2,AC021016.2,GPBAR1,AAMP,PNKD,TMBIM1,CATIP-AS2,AC021016.1,CATIP,SLC11A1,CTDSP1,VIL1,USP37
CNOT9,PLCD4,ZNF142,BCS1L,RNF25,STK36,TTLL4,CYP27A1,AC009974.1,PRKAG3,RPL23AP31,WNT6,WNT10A,KRT8P30,CDK5R2,FEV,CRYBA2,AC097468.1,CFAP65,IHH
NHEJ1,AC068946.1,SLC23A3,CNPPD1,RETREG2,ZFAND2B,ABCB6,ATG9A,ANKZF1,GLB1L,STK16,TUBA4A,TUBA4B,DNAJB2,PTPRN,DNPEP,AC053503.2,DES,SPEG,AC053503.5
GMPPA,ASIC4,CHPF,TMEM198,AC009955.3,OBSL1,AC009955.4,INHA,STK11IP,SLC4A3,AC009502.1,AC067956.1,EPHA4,AC079834.2,AC079834.1,AC009302.1,HSPA9P1,PAX3,AC010980.1,SGPP2
FARSB,MOGAT1,AC016712.1,ACSL3,AC013476.1,KCNE4,SCG2,AC012512.1,AP1S3,WDFY1,MRPL44,AC073641.1,SERPINE2,FAM124B,CUL3,AC073052.1,DOCK10,NYAP2,AC016717.2,IRS1
