WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
METAP1,AC019131.2,ADH5,AP002026.1,ADH4,ADH6,ADH1A,ADH1B,ADH1C,TRMT10A,MTTP,AC083902.2,DAPP1,LAMTOR3,DNAJB14,H2AFZ,AC097460.1,DDIT4L,EMCN,PPP3CA
FLJ20021,BANK1,SLC39A8,AC098487.1,AF213884.3,NFKB1,MANBA,LRRC37A15P,KRT8P46,AC018797.3,UBE2D3,AC018797.2,CISD2,SLC9B1,PABPC1P7,SLC9B2,BDH2,CENPE,LINC02428,CXXC4
CXXC4-AS1,AC004069.1,TET2,TET2-AS1,PPA2,EEF1A1P9,AC004066.2,ARHGEF38,ARHGEF38-IT1,INTS12,GSTCD,AC008243.1,NPNT,AC109361.2,AC109361.1,TBCK,AIMP1,DKK2,RAC1P5,PAPSS1
SGMS2,AC096564.1,CYP2U1,AC096564.2,HADH,LEF1,LEF1-AS1,RPL34-AS1,RPL34,OSTC,RNU6-431P,ETNPPL,COL25A1,RBMXP4,SEC24B-AS1,SEC24B,SETP20,CDC42P4,MCUB,HIGD1AP14
CASP6,AC004067.1,PLA2G12A,CFI,AC126283.1,GAR1,RRH,LRIT3,EGF,ELOVL6,ENPEP,PITX2,C4orf32,AC093663.2,AC109347.1,AP1AR,AC109347.2,TIFA,ALPK1,RTEL1P1
TOX4P1,NEUROG2,ZGRF1,AC023886.2,LARP7,AC106864.1,OSTCP4,RPL7AP30,ANK2,AC004057.1,CAMK2D,ARSJ,AC104779.1,UGT8,ACTN4P1,TRAM1L1,NT5C3AP1,NDST3,FKBP4P1,SNHG8
PRSS12,AC092670.1,CEP170P1,AC110079.1,CICP16,SEPT14P4,AC110079.2,METTL14,SEC24D,SYNPO2,MYOZ2,AC092656.1,USP53,C4orf3,FABP2,KLHL2P1,AC110373.1,GTF2IP12,AC093752.1,AC093752.2
PDE5A,MAD2L1,AC108866.1,PRDM5,SETP12,NDNF,TNIP3,QRFPR,ANXA5,TMEM155,EXOSC9,CCNA2,BBS7,TRPC3,KIAA1109,IL2,IL21,IL21-AS1,CETN4P,BBS12
FGF2,AC021205.3,NUDT6,SPATA5,SPRY1,AC093821.1,LINC02435,LINC01091,LINC02516,ANKRD50,FAT4,AC093772.1,INTU,HSPA4L,AC093591.3,AC093591.1,AC093591.2,PLK4,MFSD8,ABHD18
LARP1B,AC099340.1,FOSL1P1,PGRMC2,AC108062.1,AC110609.1,AC078850.1,JADE1,SCLT1,C4orf33,EEF1GP8,SNHG27,RPL7AP28,AC096711.3,AC105383.1,PCDH10,PABPC4L,AC109830.1,AC104619.1,AC104619.3
PCDH18,LINC02172,AC131956.2,SLC7A11-AS1,SLC7A11,LINC00499,AC098859.1,AC109927.1,NOCT,ELF2,RNU6-531P,PPP1R14BP3,MGARP,NDUFC1,NAA15,AC097376.2,AC097376.1,ACA64,RAB33B,SETD7
AC112236.2,MGST2,H3F3AP6,MAML3,SCOC,SCOC-AS1,RPL14P3,CLGN,ELMOD2,UCP1,TBC1D9,TNRC18P1,AC096733.2,RNF150,ZNF330,LINC02432,AC097504.2,IL15,INPP4B,AC139720.1
AC104596.1,USP38,GAB1,AC097658.1,RPSAP36,SMARCA5,SMARCA5-AS1,AC139713.2,GUSBP5,FREM3,GYPE,AC093890.1,HHIP-AS1,HHIP,ANAPC10,HSPD1P5,ABCE1,OTUD4,LINC02266,RTN3P1
AC079228.1,SMAD1,MMAA,NCOA4P3,AC093864.1,C4orf51,ZNF827,AC104791.2,AC104791.1,LSM6,AC097372.4,AC097372.1,SLC10A7,TTC29,EDNRA,AC093908.1,GTF2F2P1,TMEM184C,PRMT9,ARHGAP10
NR3C2,DCLK2,LRBA,MAB21L2,RPS3A,SNORD73B,SH3D19,AC095055.1,AC104819.1,AC104819.3,AC079795.1,FAM160A1,GATB,AC092611.1,LINC02273,AC079340.2,FBXW7,LINC02486,AC023424.2,TMEM154
AC106882.1,TIGD4,ARFIP1,AC113155.1,FAM192BP,FHDC1,TRIM2,ANXA2P1,MND1,TMEM131L,AC106865.1,WDR45P1,TLR2,RNF175,SFRP2,AC079298.3,DCHS2,PLRG1,FGB,FGA
FGG,LRAT,RBM46,AC097467.3,MAP9,AC107208.1,GUCY1A3,GUCY1B3,TDO2,CTSO,FTH1P21,PDGFC,GLRB,GRIA2,AC098679.5,FAM198B,AC098679.1,TMEM144,AC098679.3,RXFP1
C4orf46,ETFDH,U3,PPID,FNIP2,C4orf45,AC093700.1,RAPGEF2,FSTL5,AC022272.1,NAF1,NPY1R,NPY5R,TMA16,MARCH1,AC093788.1,AC105250.1,ANP32C,SMIM31,APELA
NACA3P,TRIM61,FAM218A,AC106872.2,AC106872.7,TMEM192,KLHL2,GK3P,MSMO1,CPE,HADHAP1,TLL1,SPOCK3,ANXA10,DDX60,DDX60L,PALLD,AC080188.2,AC080188.3,CBR4
RNU6-853P,SH3RF1,NEK1,CLCN3,HPF1,PTGES3P3,MFAP3L,AADAT,LINC01612,AC096571.1,GALNTL6,AC105285.1,GALNT7,AC097534.1,HMGB2,AC097534.2,SAP30,SCRG1,RPL5P11,AC093849.1
HAND2,HAND2-AS1,MORF4,RANP6,LINC02268,FBXO8,CEP44,HPGD,AC096751.1,AC096751.2,GLRA3,ADAM29,GPM6A,WDR17,SPATA4,ASB5,SPCS3,AC093801.1,VEGFC,NEIL3
AGA,AC078881.1,AC095041.1,AC093840.1,AC098864.1,TENM3,AC079766.1,DCTD,AC019193.2,WWC2-AS2,WWC2,CDKN2AIP,VTI1BP2,AC107214.1,ING2,AC107214.2,RWDD4,TRAPPC11,RNU6-1053P,AC108477.1
STOX2,AC074194.1,AC074194.2,AC107222.1,ENPP6,MYL12BP2,LINC02363,LINC02362,IRF2,AC099343.2,AC099343.3,LINC02427,LINC02365,CASP3,PRIMPOL,CENPU,ACSL1,SLED1,AC084871.1,MIR3945HG
LINC01093,SLC25A4,CFAP97,SNX25,LRP2BP,AC112722.1,ANKRD37,UFSP2,C4orf47,CCDC110,AC106897.1,PDLIM3,SORBS2,AC093797.1,AC108472.1,TLR3,FAM149A,RPSAP70,ORAOV1P1,FLJ38576
CYP4V2,KLKB1,F11,F11-AS1,SLC25A5P6,MTNR1A,FAT1,AC108474.1,AC097652.1,AC108073.1,TRIML2,AC093789.1,LINC01060,AC093909.1,AC093909.6,HSP90AA4P,AF250324.1,FRG1,TUBB7P,AGGF1P1
DBET,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PLEKHG4B,LRRC14B,CCDC127,AC021087.3,SDHA,AC021087.1,PDCD6,AC021087.2,AHRR,EXOC3-AS1,EXOC3,PP7080,SLC9A3-AS1,SLC9A3,AC106772.1,CEP72,TPPP,AC026740.1,ZDHHC11B,ZDHHC11
BRD9,TRIP13,AC116351.1,AC116351.2,NKD2,SLC12A7,MIR4635,CTD-3080P12.3,SLC6A19,TERT,CLPTM1L,LINC01511,AC026748.1,SLC6A3,LPCAT1,AC091849.2,SDHAP3,AC026412.3,AC091849.1,AC026412.1
AC026412.2,MRPL36,NDUFS6,IRX4,AC126768.2,IRX2,C5orf38,IRX1,AC022424.1,ADAMTS16,ICE1,LINC02145,MED10,UBE2QL1,LINC01018,NSUN2,SRD5A1,LINC02102,PAPD7,AC122710.2
AC122710.3,ADCY2,C5orf49,MTRR,FASTKD3,AC091965.1,AC091965.4,MIR4458HG,AC091965.5,SEMA5A,SNHG18,SNORD123,AC034229.4,FAM173B,AC012640.1,CCT5,AC012640.4,AC012640.3,CMBL,AC012640.5
AC012640.2,MARCH6,ROPN1L,RPL30P7,ANKRD33B,DAP,AC012629.2,CTNND2,AC016546.1,DNAH5,TRIO,FAM105A,AC010627.1,CCT6P2,EEF1A1P13,AC010491.1,OTULIN,ANKH,RBBP4P1,AC016575.1
AC114964.1,FBXL7,ZNF622,RETREG1,AC022113.1,AC022113.2,MYO10,RPS26P28,BASP1,AC026790.1,FTH1P10,LINC02223,RPL36AP21,LINC02100,CDH18,LINC02241,GUSBP1,AC138951.1,AC091946.2,CDH12
HSPD1P1,C5orf17,AC010342.1,CDH10,LINC02228,LINC02211,MSNP1,LINC01021,CDH6,DROSHA,C5orf22,AC022417.1,PDZD2,AC010469.1,TPT1P5,AC025458.1,AC025178.1,GOLPH3,AC025181.2,AC025181.1
MTMR12,ZFR,AC074134.1,SUB1,NPR3,AC025459.1,AC010343.3,AC010343.1,AC034231.1,TARS,ADAMTS12,RXFP3,SLC45A2,AMACR,C1QTNF3-AMACR,C1QTNF3,AC138409.2,AC138409.1,AC025754.2,RAI14
AC026801.3,TTC23L,AC026801.1,RAD1,BRIX1,DNAJC21,AGXT2,PRLR,SPEF2,IL7R,CAPSL,UGT3A2,LMBRD2,SKP2,NADK2,NADK2-AS1,RANBP3L,SLC1A3,AC008957.1,AC008957.3
AC026741.1,NIPBL,KRT18P31,RPS4XP6,C5orf42,OFD1P17,AC025449.1,NUP155,RNU7-75P,WDR70,GDNF-AS1,GDNF,EGFLAM,AC010457.1,LIFR,LIFR-AS1,AC010425.1,OSMR-AS1,AC091435.2,OSMR
RICTOR,FYB1,C9,DAB2,LINC02104,INTS6P1,TTC33,PTGER4,PRKAA1,RPL37,SNORD72,CARD6,C7,MROH2B,C6,PLCXD3,OXCT1,OXCT1-AS1,C5orf51,FBXO4
GHR,SERBP1P6,CCDC152,SELENOP,AC008945.1,AC008875.1,AC025171.1,AC025171.3,AC025171.5,ANXA2R,AC025171.2,AC025171.4,ZNF131,NIM1K,AC106800.2,AC106800.1,HMGCS1,AC114947.1,CCL28,TMEM267
AC114956.3,C5orf34,EEF1A1P19,AC114956.2,AC114956.1,PAIP1,NNT-AS1,AC010435.1,AMD1P3,NNT,RPL29P12,FGF10,AC093297.2,MRPS30,AC093297.3,HCN1,EMB,AC112187.1,AC112187.3,PARP8
AC010478.1,ISL1,AC022126.1,ITGA1,PELO,AC025180.1,ITGA2,AC008966.2,MOCS2,AC008966.1,AC108114.1,FST,NDUFS4,ASS1P9,AC025175.1,ARL15,LINC01033,HSPB3,SNX18,AC016583.1
AC112198.2,ESM1,AC034238.1,GZMK,GZMA,CDC20B,GPX8,MCIDAS,CCNO,AC026704.1,DHX29,SKIV2L2,PLPP1,RNF138P1,SLC38A9,DDX4,HNRNPH1P3,IL31RA,IL6ST,AC016596.1
FLJ31104,AC008892.1,ANKRD55,AC016638.1,LINC01948,AC022431.1,C5orf67,MAP3K1,AC008937.2,SETD9,MIER3,AC008937.3,GPBP1,AC025470.2,ACTBL2,PLK2,GAPT,RAB3C,PDE4D,AC092343.1
SETP21,PART1,DEPDC1B,CAB39P1,KRT8P31,ELOVL7,ERCC8,GNL3LP1,AC022445.1,NDUFAF2,AC008498.1,SMIM15,SMIM15-AS1,LINC02057,ZSWIM6,AC122718.2,AC122718.1,RPL3P6,C5orf64,KIF2A
DIMT1,IPO11,CKS1BP3,LRRC70,ISCA1P1,RNF180,RGS7BP,FAM159B,SREK1IP1,CWC27,AC092354.2,AC092354.1,ADAMTS6,AC025176.1,CENPK,PPWD1,TRIM23,TRAPPC13,AC008560.1,SGTB
NLN,AC010359.1,ERBIN,SREK1,LINC02065,AC092373.1,MAST4,MAST4-AS1,CD180,AC112206.2,AC112206.4,AC112206.3,EEF1B2P2,PIK3R1,AC010280.2,AC010280.1,AC093523.1,LINC02198,AC010273.2,SLC30A5
AC010273.1,CCNB1,AC022107.1,CENPH,MRPS36,CDK7,CCDC125,CFL1P5,CHCHD2P2,AK6,TAF9,RAD17,MARVELD2,OCLN,GTF2H2C,AC139495.1,AC139495.3,GUSBP3,AC131392.1,SERF1B
SMN2,AC140134.1,AC138866.1,GTF2H2B,AC146944.2,SERF1A,SMN1,NAIP,GTF2H2,AC044797.1,AC145138.1,GUSBP9,BDP1,MCCC2,MAP1B,MRPS27,PTCD2,AC093278.1,ZNF366,AC063979.2
RPL7P22,TNPO1,AC008953.1,AC008972.1,AC008972.2,FCHO2,AC020893.2,TMEM171,AC116345.1,AC099522.1,FOXD1,AC099522.2,BTF3,FUNDC2P1,ANKRA2,UTP15,ARHGEF28,AC091868.1,LINC01331,ENC1
HEXB,GFM2,RNU6-658P,NSA2,FAM169A,AC010501.1,AC116337.3,RPL27AP5,GCNT4,ANKRD31,HMGCR,AC008897.3,COL4A3BP,AC008897.1,POLK,AC010245.2,ANKDD1B,POC5,SV2C,AC113404.3
HMGN2P4,SNRPCP2,IQGAP2,F2RL2,AC025188.1,F2R,F2RL1,RN7SL208P,S100Z,CRHBP,AGGF1,ZBED3,SNORA47,ZBED3-AS1,PDE8B,ALDH7A1P1,WDR41,AC010234.1,RPL7P23,OTP
TBCA,ACTBP2,AP3B1,AC024568.1,SCAMP1-AS1,SCAMP1,LHFPL2,HMGB1P21,AC008802.1,ARSB,DMGDH,BHMT2,BHMT,JMY,AC020898.1,HOMER1,AC093270.1,AC093270.2,PAPD4,CMYA5
AC008496.2,MTX3,THBS4,AC112184.1,CTD-2201I18.1,SERINC5,AC010260.1,AC026410.1,AC026410.2,AC026410.3,HNRNPA1P12,ZFYVE16,AC008771.1,FAM151B,RPL7P24,ANKRD34B,LINC01337,DHFR,AC008434.1,MTRNR2L2
MSH3,RASGRF2-AS1,RASGRF2,CKMT2-AS1,CKMT2,AC026436.1,ZCCHC9,ACOT12,SSBP2,SEM1P1,ATG10,PPIAP11,AC010598.1,RPS23,ATP6AP1L,LINC01338,AC027338.1,AC104118.1,TMEM167A,XRCC4
VCAN,VCAN-AS1,HAPLN1,AC020899.1,EDIL3,AC113383.1,RPL5P17,AC026700.1,COX7C,AC091429.1,LINC01949,RASA1,CCNH,TMEM161B,TMEM161B-AS1,LINC00461,AC008526.1,MEF2C-AS2,MEF2C,MEF2C-AS1
AC093510.2,CETN3,AC093510.1,MBLAC2,POLR3G,LYSMD3,ADGRV1,LUCAT1,AC008799.1,ARRDC3,ARRDC3-AS1,AC114316.2,AC124854.1,AC012625.1,POLD2P1,NR2F1-AS1,NR2F1,FAM172A,NPM1P27,POU5F2
AC114980.1,KIAA0825,MTND5P12,MTND6P3,MTCYBP35,AC093311.1,AC025766.1,SLF1,MCTP1,RPL7P18,FAM81B,TTC37,ARSK,GPR150,RFESD,SPATA9,AC008840.1,RHOBTB3,GLRX,HSPD1P11
AC008592.3,AC008592.4,AC008592.5,LINC01554,AC008592.1,ELL2,AC104123.1,MIR583HG,PCSK1,CAST,ERAP1,AC008906.1,AC008906.2,AC009126.1,ERAP2,LNPEP,SETP22,LIX1-AS1,LIX1,RIOK2
LINC01340,LINC02234,AC116347.1,AC233964.1,KRT8P32,CTBP2P4,RGMB,RGMB-AS1,AC008522.1,CHD1,LINC02062,MTND6P22,MTND5P10,MTND4P35,MTCO3P22,MTATP6P2,MTCO2P22,MTCO1P22,AC113385.3,AC021086.1
FAM174A,ST8SIA4,SLCO4C1,LINC00491,PAM,EIF3KP1,GIN1,PPIP5K2,C5orf30,LINC02115,NUDT12,LINC02163,EFNA5,FBXL17,AC133134.1,LINC01023,FER,AC034207.1,GJA1P1,AC008467.1
PJA2,AC012603.1,MAN2A1,AC008417.1,TMEM232,SLC25A46,BCLAF1P1,TSLP,WDR36,AC010468.1,CAMK4,STARD4,STARD4-AS1,NREP,EPB41L4A,EPB41L4A-AS1,SNORA13,AC010261.2,EPB41L4A-AS2,APC
SRP19,REEP5,XBP1P1,DCP2,MCC,AC079465.1,YTHDC2,KCNN2,TRIM36,AC008494.2,PGGT1B,AC008494.3,AC008494.1,CCDC112,CTNNA1P1,CCT5P1,FEM1C,TMED7-TICAM2,TICAM2,AC010226.1
TMED7,AC008549.3,CDO1,ATG12,AP3S1,LVRN,ARL14EPL,AC034236.1,AC034236.3,AC034236.2,COMMD10,HMGN2P27,AC018752.1,SEMA6A,SEMA6A-AS1,RPS14P8,SEMA6A-AS2,RPS17P2,LINC00992,LINC02147
LINC02208,DTWD2,PTMAP2,MIR1244-2,AC008629.1,DMXL1,TNFAIP8,HSD17B4,PRR16,AC114284.1,AC106806.1,SRFBP1,LOX,AC010255.1,ZNF474,AC010255.3,AC010255.2,SNCAIP,MGC32805,SNX2
SNX24,RN7SL689P,PPIC,AC106786.2,AC106786.1,PRDM6,CEP120,KRT8P33,CSNK1G3,KRT18P16,LINC01170,ZNF608,LINC02240,AC010235.1,GRAMD2B,AC093535.1,AC093535.2,ALDH7A1,PHAX,AC099513.1
AC137794.1,LMNB1,MARCH3,C5orf63,AC011416.2,AC011416.4,MEGF10,HNRNPKP1,PRRC1,CCDC192,LINC01184,SLC12A2,KDELC1P1,FBN2,SLC27A6,ISOC1,ADAMTS19,AC008591.1,CHSY3,HSPA8P4
AC113367.1,HINT1,LYRM7,CDC42SE2,AC004777.1,RAPGEF6,FNIP1,AC005593.1,ACSL6,CSF2,P4HA2-AS1,P4HA2,AC063976.2,PDLIM4,SLC22A4,MIR3936HG,SLC22A5,C5orf56,AC116366.2,Y_RNA
AC116366.1,IRF1,IL5,RAD50,TH2LCRR,IL13,IL4,AC004039.1,KIF3A,CCNI2,SEPT8,SOWAHA,SHROOM1,GDF9,UQCRQ,LEAP2,AFF4,AC010240.2,AC010240.3,ZCCHC10
AC113410.1,HSPA4,AC113410.3,AC010307.2,FSTL4,C5orf15,VDAC1,AC008608.2,TCF7,SKP1,PPP2CA,AC104109.4,AC104109.2,CDKL3,UBE2B,AC109454.4,AC109454.2,CDKN2AIPNL,AC109454.1,AC109454.3
LINC01843,AC005355.2,JADE2,SAR1B,SEC24A,CAMLG,DDX46,C5orf24,TXNDC15,PCBD2,AC006077.2,MTCYBP18,MTND6P4,MTND5P11,MTND4P12,MTND4LP30,MTND3P25,CATSPER3,PITX1,C5orf66
AC008406.3,C5orf66-AS1,H2AFY,AC026691.1,TIFAB,CXCL14,AC114296.1,SLC25A48,FBXL21,TGFBI,SMAD5,AC009014.1,TRPC7,SPOCK1,KLHL3,HNRNPA0,NPY6R,AC106791.1,MYOT,PKD2L2
FAM13B,AC113382.1,AC113382.2,NME5,BRD8,KIF20A,CDC23,GFRA3,CDC25C,FAM53C,KDM3B,REEP2,EGR1,RPL7P19,ETF1,HSPA9,CTNNA1,AC034243.1,LRRTM2,SIL1
AC011405.1,RPL12P21,SNHG4,SNORA74A,MATR3,PAIP2,SLC23A1,MZB1,PROB1,SPATA24,DNAJC18,RNU5B-4P,ECSCR,AC138517.2,TMEM173,NCOA4P4,UBE2D2,AC010378.1,AC113361.1,CXXC5
CXXC5-AS1,AC008667.1,PSD2-AS1,PSD2,NRG2,LINC01024,PURA,IGIP,AC011379.2,CYSTM1,AC011379.1,PFDN1,HBEGF,SLC4A9,AC008438.1,ANKHD1,ANKHD1-EIF4EBP3,SRA1,EIF4EBP3,APBB3
SLC35A4,AC116353.5,CD14,NDUFA2,TMCO6,IK,WDR55,HARS,HARS2,ZMAT2,AC005609.5,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA6,PCDHA7,PCDHA8,PCDHA9,PCDHA10
PCDHA11,PCDHA12,PCDHA13,PCDHAC1,PCDHAC2,PCDHB1,PCDHB2,PCDHB3,AC244517.1,PCDHB4,PCDHB5,PCDHB6,PCDHB17P,PCDHB7,PCDHB8,PCDHB16,PCDHB9,AC244517.7,PCDHB10,PCDHB11
PCDHB12,PCDHB13,PCDHB14,PCDHB18P,PCDHB19P,PCDHB15,AC244517.3,TAF7,SLC25A2,AC005618.1,PCDHGA1,PCDHGA2,PCDHGA3,PCDHGB1,PCDHGA4,PCDHGB2,PCDHGA5,PCDHGB3,PCDHGA6,PCDHGA7
PCDHGB4,PCDHGA8,PCDHGB5,PCDHGA9,PCDHGB6,PCDHGA10,PCDHGB7,PCDHGA11,PCDHGB8P,PCDHGA12,AC005618.2,AC008781.3,PCDHGC3,PCDHGC4,PCDHGC5,DIAPH1,AC008781.2,AC008781.1,HDAC3,RELL2
FCHSD1,ARAP3,AC005753.1,PCDH1,AC005740.1,KIAA0141,PCDH12,AC005740.4,RNF14,AC005740.3,GNPDA1,NDFIP1,AC091825.1,SPRY4,SPRY4-IT1_1,SPRY4-IT1_2,SPRY4-AS1,FGF1,AC005592.1,LINC01844
ARHGAP26,ARHGAP26-AS1,NR3C1,RPL7P21,AC091925.1,YIPF5,KCTD16,ASS1P10,PRELID2,AC011411.1,GRXCR2,SH3RF2,PLAC8L1,LARS,AC091959.2,AC091959.1,RBM27,POU4F3,TCERG1,uc_338
PPP2R2B,KRT8P48,STK32A-AS1,STK32A,DPYSL3,JAKMIP2,SPINK1,SCGB3A2,C5orf46,AC011352.3,EEF1GP2,SPINK5,SPINK6,SPINK13,AC091948.1,SPINK7,SPINK9,FBXO38,AC114939.1,HTR4
ADRB2,SH3TC2,AC116312.1,AC091940.1,ABLIM3,AFAP1L1,GRPEL2,GRPEL2-AS1,PCYOX1L,IL17B,AC131025.1,CARMN,MIR145,CSNK1A1,AC021078.1,RPL29P14,ARHGEF37,PPARGC1B,PDE6A,AC008427.1
SLC26A2,TIGD6,HMGXB3,RPS20P4,CSF1R,RPL7P1,PDGFRB,CDX1,SLC6A7,CAMK2A,ARSI,TCOF1,CD74,RPS14,NDST1-AS1,NDST1,SYNPO,AC011383.1,MYOZ3,RBM22
DCTN4,SMIM3,IRGM,ZNF300,ZNF300P1,GPX3,TNIP1,ANXA6,CCDC69,GM2A,SLC36A3,SLC36A2,SLC36A1,FAT2,AC011337.1,AC011374.1,SPARC,CLMAT3,ATOX1,AC091982.2
AC091982.1,AC091982.4,G3BP1,LINC01933,NMUR2,GRIA1,FAM114A2,MFAP3,GALNT10,SAP30L-AS1,HNRNPA3P7,SAP30L,LARP1,FAXDC2,Metazoa_SRP,MIR378H,CNOT8,GEMIN5,MRPL22,KIF4B
SGCD,PPP1R2P3,TIMD4,HAVCR1,HAVCR2,MED7,ITK,AC009185.1,CYFIP2,AC008676.2,AC008676.1,ADAM19,NIPAL4,AC106801.1,SOX30,THG1L,LSM11,CLINT1,AC008677.2,LINC02227
EBF1,LINC02202,AC134043.2,RNF145,UBLCP1,AC008691.1,IL12B,ADRA1B,GAPDHP40,TTC1,AC068657.1,PWWP2A,FABP6,CCNJL,AC112191.2,C1QTNF2,ZBED8,SLU7,PTTG1,MIR3142HG
ATP10B,LINC02159,GABRB2,GABRG2,AC091901.1,CCNG1,NUDCD2,HMMR,MAT2B,AC109466.1,RPL7P20,AC026403.1,TENM2,CTB-178M22.2,WWC1,RARS,FBLL1,PANK3,RPL10P9,AC011365.2
SLIT3,AC011365.1,SPDL1,DOCK2,FAM196B,FOXI1,C5orf58,LCP2,AC034199.1,LINC01366,KCNIP1,KCNMB1,AC008514.1,GABRP,RANBP17,AC008514.2,AC010306.1,RPL10P8,NPM1,FGF18
SMIM23,FBXW11,STK10,UBTD2,SH3PXD2B,NEURL1B,AC027309.2,AC022217.2,AC022217.1,AC022217.3,DUSP1,ERGIC1,AC008429.1,RPL26L1,AC008429.2,ATP6V0E1,SNORA74B,CREBRF,CDC42P5,BNIP1
NKX2-5,STC2,AC008663.3,AC008663.2,BOD1,LINC01942,LINC01484,LINC01485,CPEB4,C5orf47,HGNC:24955,LINC01411,GAPDHP71,SUMO2P6,MSX2,DRD1,SFXN1,HRH2,CPLX2,THOC3
FAM153B,AC139493.2,SIMC1,BRCC3P1,KIAA1191,AC138956.1,AC138956.2,ARL10,NOP16,HIGD2A,CLTB,FAF2,RNF44,CDHR2,RN7SL684P,GPRIN1,SNCB,TSPAN17,UNC5A,HK3
UIMC1,ZNF346,ZNF346-IT1,FGFR4,NSD1,AC146507.2,PRMT1P1,RAB24,MXD3,PRELID1,LMAN2,AC146507.1,RGS14,SLC34A1,F12,GRK6,PRR7-AS1,PRR7,DBN1,AC145098.2
PDLIM7,AC145098.1,DOK3,DDX41,FAM193B,AC139795.3,TMED9,B4GALT7,AC139795.2,AC139795.1,FAM153A,AC140125.2,AC106795.1,AC106795.3,AC106795.2,SUDS3P1,FAM153C,N4BP3,RMND5B,NHP2
AC136632.2,GMCL1P1,HNRNPAB,PHYKPL,COL23A1,CLK4,RN7SKP70,ZNF354A,AACSP1,ZNF354B,ZFP2,PIGFP1,AC104117.5,ZNF454,AC104117.3,GRM6,ZNF879,ZNF354C,ADAMTS2,AC109479.1
AC136628.3,RUFY1,PRDX2P3,AC136604.2,HNRNPH1,Metazoa_SRP,C5orf60,AC136604.3,CBY3,CANX,HMGB3P22,MAML1,LTC4S,MGAT4B,SQSTM1,MRNIP,RN7SKP150,Y_RNA,AC008393.1,TBC1D9B
RNF130,AC010285.2,AC122713.2,RASGEF1C,MAPK9,AC104115.2,AC008610.1,GFPT2,AC034213.1,CNOT6,SCGB3A1,FLT4,MGAT1,AC022413.1,HEIH,LINC00847,ZFP62,BTNL8,BTNL3,BTNL9
LINC01962,AC008443.5,TRIM7,AC008443.6,AC008443.4,TRIM41,RACK1,AC008443.1,TRIM52,TRIM52-AS1,AC008443.3,AC008443.7,AC138035.1,None,None,None,None,None,None,None
DUSP22,IRF4,EXOC2,AL031770.1,HUS1B,AL357054.4,AL357054.2,AL357054.3,FOXQ1,AL499606.1,AL034346.1,FOXF2,AL512329.1,AL512329.2,FOXCUT,FOXC1,GMDS,GMDS-AS1,HMGN2P28,AL031768.1
LINC01600,LINC02521,MYLK4,WRNIP1,SERPINB1,MIR4645,SERPINB9P1,SERPINB9,SERPINB6,LINC01011,NQO2,AL133351.1,AL133351.4,AL031963.2,RIPK1,AL031963.3,BPHL,TUBB2A,TUBB2BP1,TUBB2B
PSMG4,SLC22A23,AL445309.1,AL138881.1,PXDC1,AL391422.3,AL391422.1,FAM50B,AL590004.4,GLRX3P2,AL138831.3,AL138831.2,AL138831.1,PRPF4B,FAM217A,C6orf201,ECI2,AL136309.2,AL159166.1,LINC02533
AL034376.1,CDYL,AL359643.1,RPP40,AL359643.3,AL359643.2,AL139094.1,PPP1R3G,LYRM4,FARS2,AL021328.1,HNRNPA1P37,AL022097.1,AL136968.2,AL136968.1,AL136307.1,RN7SL221P,PKMP5,NRN1,F13A1
LY86-AS1,LY86,AL031123.2,AL031123.3,AL031123.1,BTF3P7,RREB1,AL355336.1,SSR1,AL139095.4,CAGE1,AL139095.2,RIOK1,HNRNPLP1,AL138878.2,AL031058.1,DSP,SNRNP48,AL390026.1,BMP6
TXNDC5,PIP5K1P1,BLOC1S5,EEF1E1,AL359378.1,SLC35B3,OFCC1,AL136226.1,TFAP2A,TFAP2A-AS1,GCNT2,AL139039.3,AL139039.2,GCNT6,C6orf52,PAK1IP1,TMEM14C,AL024498.1,TMEM14B,RNA5SP203
MAK,AL357497.1,SYCP2L,ELOVL2,ELOVL2-AS1,SMIM13,ERVFRD-1,AL139807.1,NEDD9,TMEM170B,ADTRP,AL022724.1,AL157373.2,HIVEP1,EDN1,RPL15P3,PHACTR1,AL008729.1,TBC1D7,AL008729.2
GFOD1,RPS4XP7,SIRT5,NOL7,RANBP9,MCUR1,AL023583.1,RNF182,CD83,LINC01108,AL138720.1,AL136162.1,JARID2,JARID2-AS1,5S_rRNA,DTNBP1,ARPC3P5,MYLIP,AL021407.3,AL021407.1
GMPR,AL009031.1,ATXN1,AL137003.1,AL137003.2,STMND1,RBM24,CAP2,RPL7P26,FAM8A1,NUP153,RNU6-190P,AL138724.1,KIF13A,AL023807.1,NHLRC1,TPMT,KDM1B,DEK,AL138725.1
